segment_id,source_way_id,sample_area,from_node_id,to_node_id,highway,name,rule_bucket,length_meter,geom_wkt
1075628595_1,1075628595,seomyeon_station_1km,9864859753,7453983009,secondary,황령대로,conditional,6.874,"LINESTRING (129.0653215 35.1494352, 129.0652503 35.1494144)"
1075628596_1,1075628596,seomyeon_station_1km,1770395009,6624548559,secondary_link,,conditional,43.373,"LINESTRING (129.0655048 35.1491285, 129.0657686 35.1488035)"
1075628597_1,1075628597,seomyeon_station_1km,7453983012,9864859753,secondary_link,,conditional,31.308,"LINESTRING (129.0652809 35.1497148, 129.0653215 35.1494352)"
1149588125_1,1149588125,seomyeon_station_1km,10694445616,10694445595,service,,conditional,142.242,"LINESTRING (129.0699164 35.1611780, 129.0700181 35.1613136, 129.0700288 35.1613805, 129.0699913 35.1614287, 129.0696868 35.1615614, 129.0696560 35.1615954, 129.0696640 35.1617050, 129.0696909 35.1618925, 129.0697150 35.1619309, 129.0697727 35.1619572, 129.0699054 35.1619309, 129.0699913 35.1619002, 129.0700328 35.1618794, 129.0700570 35.1618410, 129.0700577 35.1618369)"
1149588125_2,1149588125,seomyeon_station_1km,10694445595,10694445596,service,,conditional,79.3,"LINESTRING (129.0700577 35.1618369, 129.0700731 35.1617489, 129.0700851 35.1617292, 129.0702836 35.1616272, 129.0702917 35.1615976, 129.0702917 35.1615702, 129.0702058 35.1614189, 129.0704043 35.1613279)"
1149588149_1,1149588149,seomyeon_station_1km,10694445595,10694446145,path,,direct,101.362,"LINESTRING (129.0700577 35.1618369, 129.0702080 35.1620603, 129.0703696 35.1621408, 129.0706332 35.1620679, 129.0708131 35.1621035, 129.0709527 35.1621496)"
1232130222_1,1232130222,seomyeon_station_1km,1769242717,11428468628,service,,conditional,1101.362,"LINESTRING (129.0486228 35.1602042, 129.0485761 35.1602686, 129.0484125 35.1608343, 129.0483873 35.1608587, 129.0483455 35.1608694, 129.0478948 35.1607729, 129.0478321 35.1609464, 129.0477929 35.1609922, 129.0477382 35.1610210, 129.0474834 35.1609924, 129.0427852 35.1601853, 129.0422354 35.1601962, 129.0421160 35.1601808, 129.0417566 35.1601344, 129.0410981 35.1600493, 129.0406931 35.1599287, 129.0397409 35.1596064, 129.0389899 35.1593651, 129.0381692 35.1590954, 129.0379787 35.1590560, 129.0377177 35.1590358, 129.0376796 35.1590366)"
1290622818_1,1290622818,seomyeon_station_1km,4655135965,12546151538,secondary,전포대로,conditional,65.98,"LINESTRING (129.0653693 35.1639325, 129.0653577 35.1637925, 129.0653657 35.1636049, 129.0653696 35.1634769, 129.0653213 35.1633454)"
1290622818_2,1290622818,seomyeon_station_1km,12546151538,9673755308,secondary,전포대로,conditional,10.595,"LINESTRING (129.0653213 35.1633454, 129.0652995 35.1632518)"
1290622818_3,1290622818,seomyeon_station_1km,9673755308,12558301172,secondary,전포대로,conditional,43.446,"LINESTRING (129.0652995 35.1632518, 129.0652807 35.1631450, 129.0652248 35.1628659)"
