vertexId,osm_node_id,point
208,1764986191,POINT (129.0549511 35.1623247)
209,1767576712,POINT (129.0557307 35.1484881)
210,1767576862,POINT (129.0559547 35.1477985)
211,1767576886,POINT (129.0554566 35.1499641)
212,1768225192,POINT (129.0557013 35.1620718)
213,1768225209,POINT (129.0646773 35.1665853)
214,1768225243,POINT (129.0650210 35.1665117)
215,1768225260,POINT (129.0649261 35.1665315)
216,1768225281,POINT (129.0555121 35.1623413)
217,1768226228,POINT (129.0578825 35.1627325)
218,1768226232,POINT (129.0576705 35.1638189)
219,1768279391,POINT (129.0505533 35.1575573)
220,1768279397,POINT (129.0562851 35.1507412)
221,1768279405,POINT (129.0497197 35.1614265)
222,1768279406,POINT (129.0503769 35.1583024)
223,1768279414,POINT (129.0507904 35.1575992)
224,1768279419,POINT (129.0550637 35.1516418)
225,1768279424,POINT (129.0501643 35.1640491)
226,1768279431,POINT (129.0529234 35.1699929)
227,1768279432,POINT (129.0528923 35.1700563)
228,1768279445,POINT (129.0568922 35.1520289)
229,1768279452,POINT (129.0569757 35.1520539)
230,1768279457,POINT (129.0578651 35.1511539)
231,1768279467,POINT (129.0500615 35.1632199)
232,1768284615,POINT (129.0501483 35.1646618)
233,1768284632,POINT (129.0502189 35.1624668)
234,1768284647,POINT (129.0499873 35.1644393)
235,1768284650,POINT (129.0499505 35.1622518)
236,1768284654,POINT (129.0440066 35.1624651)
237,1768284662,POINT (129.0479329 35.1624897)
238,1768284677,POINT (129.0502443 35.1665444)
239,1768284697,POINT (129.0500972 35.1634131)
240,1768284704,POINT (129.0408518 35.1586825)
241,1768284774,POINT (129.0500785 35.1654058)
242,1768284798,POINT (129.0493127 35.1608784)
243,1768284799,POINT (129.0489527 35.1625690)
244,1768284801,POINT (129.0485143 35.1625920)
245,1768284805,POINT (129.0502208 35.1632939)
246,1768284820,POINT (129.0509047 35.1627625)
247,1768284831,POINT (129.0497392 35.1639263)
248,1768284835,POINT (129.0496809 35.1621280)
249,1768284843,POINT (129.0496884 35.1616249)
250,1768284844,POINT (129.0498186 35.1609192)
251,1768284845,POINT (129.0487255 35.1628073)
252,1768284859,POINT (129.0500369 35.1646617)
253,1768284866,POINT (129.0487662 35.1621525)
254,1768284871,POINT (129.0505887 35.1613098)
255,1768296101,POINT (129.0571735 35.1575449)
256,1768296122,POINT (129.0577627 35.1575526)
257,1768296127,POINT (129.0505848 35.1574075)
258,1768296134,POINT (129.0547409 35.1575302)
259,1768296171,POINT (129.0498746 35.1572500)
260,1768296219,POINT (129.0585177 35.1575732)
261,1768296318,POINT (129.0508190 35.1574591)
262,1768303961,POINT (129.0547708 35.1419032)
263,1768323661,POINT (129.0533643 35.1577039)
264,1768323674,POINT (129.0506750 35.1569675)
265,1768323704,POINT (129.0504280 35.1581214)
266,1768323748,POINT (129.0514999 35.1575420)
267,1768323761,POINT (129.0509057 35.1570367)
268,1768323773,POINT (129.0515380 35.1576750)
269,1768323775,POINT (129.0537987 35.1575364)
270,1768323789,POINT (129.0457261 35.1562951)
271,1768323823,POINT (129.0501976 35.1574708)
272,1768323833,POINT (129.0464951 35.1561578)
273,1768323854,POINT (129.0505950 35.1584910)
274,1768441156,POINT (129.0638453 35.1577395)
275,1768441177,POINT (129.0656449 35.1577768)
276,1768441179,POINT (129.0665319 35.1472755)
277,1768441194,POINT (129.0658810 35.1577768)
278,1768441208,POINT (129.0652013 35.1581519)
279,1768441218,POINT (129.0652295 35.1573806)
280,1769242591,POINT (129.0488176 35.1612773)
281,1769242592,POINT (129.0469456 35.1612359)
282,1769242642,POINT (129.0486512 35.1609944)
283,1769242717,POINT (129.0486228 35.1602042)
284,1769242793,POINT (129.0492725 35.1610890)
285,1769242809,POINT (129.0475784 35.1616018)
286,1769251186,POINT (129.0538456 35.1514086)
287,1769251201,POINT (129.0508174 35.1543502)
288,1769251202,POINT (129.0547346 35.1519441)
289,1769251209,POINT (129.0482854 35.1550629)
290,1769251216,POINT (129.0505449 35.1535188)
291,1769251227,POINT (129.0516246 35.1549169)
292,1769251242,POINT (129.0499296 35.1546440)
293,1769251261,POINT (129.0512386 35.1539330)
294,1769251282,POINT (129.0546529 35.1511659)
295,1769251284,POINT (129.0511284 35.1540421)
296,1769251285,POINT (129.0501264 35.1532118)
297,1769251287,POINT (129.0513603 35.1540232)
298,1769251328,POINT (129.0545373 35.1517625)
299,1769251330,POINT (129.0511606 35.1542220)
300,1769251331,POINT (129.0551921 35.1501790)
301,1769251333,POINT (129.0547388 35.1517887)
302,1769251338,POINT (129.0510110 35.1541584)
303,1769254344,POINT (129.0516741 35.1522666)
304,1769254350,POINT (129.0516408 35.1518567)
305,1769254361,POINT (129.0510813 35.1524223)
306,1769254366,POINT (129.0508640 35.1536373)
307,1769254369,POINT (129.0524149 35.1527733)
308,1769254385,POINT (129.0520432 35.1525234)
309,1769254388,POINT (129.0514128 35.1520870)
310,1769254400,POINT (129.0513565 35.1531374)
311,1769266498,POINT (129.0554248 35.1544496)
312,1770395007,POINT (129.0646764 35.1497962)
313,1770395009,POINT (129.0655048 35.1491285)
314,1770395018,POINT (129.0643291 35.1499783)
315,1770395032,POINT (129.0650546 35.1495758)
316,1770395039,POINT (129.0665142 35.1497825)
317,1770395050,POINT (129.0658777 35.1492786)
318,1770395051,POINT (129.0659320 35.1490603)
319,1770395112,POINT (129.0653647 35.1492863)
320,1770395129,POINT (129.0646969 35.1492137)
321,1770395134,POINT (129.0655266 35.1499493)
322,1770395157,POINT (129.0656452 35.1497707)
323,1770395195,POINT (129.0629284 35.1495226)
324,1770395208,POINT (129.0662009 35.1494980)
325,1770395219,POINT (129.0648097 35.1491117)
326,1770395237,POINT (129.0647310 35.1500476)
327,1770395248,POINT (129.0643833 35.1500589)
328,1771079410,POINT (129.0657762 35.1671518)
329,1771079415,POINT (129.0691129 35.1681451)
330,1771079442,POINT (129.0635767 35.1719043)
331,1771081054,POINT (129.0605588 35.1657568)
332,1771081077,POINT (129.0627294 35.1666315)
333,1771272721,POINT (129.0666500 35.1652886)
334,1771272747,POINT (129.0664029 35.1657648)
